04-19-15.37.17,04-19-15.37.17,50.75247525,0.16039604,0.397239011,0.4432221,0.345705507,weights,1.785526548,1.931753013,-3.626597341,-3.487216754,-3.331033355,3.601671079,3.343415267,-3.115533302,rows,0,435059.2
04-19-15.37.17,04-19-15.37.17,31.1875,0.148214286,0.512695313,0.459478022,0.339855623,weights,0.949589902,3.756273331,-2.866804408,-3.633768171,-3.774936212,2.98413368,3.162418691,-2.19612505,rows,0,
04-19-15.37.17,04-19-15.37.17,54.41129032,0.39516129,0.448161356,0.459191117,0.428471248,weights,-1.02006235,-0.54811338,0.284609234,3.505569667,-3.324967125,-0.855819462,-1.931716404,2.83241307,rows,0,
04-19-15.37.17,04-19-15.37.17,49.92537313,0.416791045,0.489515612,0.469736743,0.45089368,weights,-2.25107369,0.34901788,3.810587461,2.269213891,-3.62168436,3.325428123,0.130117302,0.767699081,rows,0.6,
04-19-15.37.17,04-19-15.37.17,20.265625,0.140625,0.669940961,0.463625672,0.403182676,weights,-1.060432298,-1.929078022,-0.225940246,-0.738475704,2.167873242,-3.722986125,0.058803018,-0.661227521,rows,0,
04-19-15.37.17,04-19-15.37.17,24.39655172,0.130747126,0.564347291,0.452628055,0.269054793,weights,-0.770499267,1.955944179,-3.102600057,-3.627673571,2.952368531,1.138176756,-0.879902114,-1.953273247,rows,0.6,
04-19-15.37.17,04-19-15.37.17,28.51572327,0.228616352,0.543017255,0.399284914,0.321582258,weights,1.405312704,3.113939016,2.87383614,-2.540796406,-0.821614044,2.665858174,-3.851160261,0.710376537,rows,0.4,
04-19-15.37.17,04-19-15.37.18,69.19565217,0.341304348,0.451698477,0.422251454,0.397993311,weights,-1.8705651,-3.970522176,-2.51594363,-0.823947498,-3.942812258,2.624973135,-3.554274643,0.703904384,rows,0.4,
04-19-15.37.17,04-19-15.37.18,74.98888889,0.295,0.41046471,0.408670034,0.358817533,weights,3.979948641,-3.412932224,-0.425353532,-2.059348906,-1.304752102,1.061188015,0.229084874,1.055761803,rows,0,
04-19-15.37.17,04-19-15.37.18,14.03781513,0.432773109,0.49864946,0.46156911,0.478874883,weights,-3.358087653,-2.25608589,3.678289521,3.754823011,3.675721435,-3.830105339,1.694336031,2.934569485,rows,2.2,
04-19-15.37.17,04-19-15.37.18,59.13114754,0.267213115,0.430335766,0.440459927,0.498227736,weights,-2.781443603,1.82590889,-0.011774715,-1.005269898,-3.084300226,-2.801602143,3.121933294,2.262387025,rows,1.2,
04-19-15.37.17,04-19-15.37.18,7.77972028,0.344230769,0.834474037,0.673502174,0.476398601,weights,1.66491385,2.315188514,1.997537635,-1.847623116,3.618787018,-0.020539207,1.001281635,1.298473182,rows,8,
04-19-15.37.17,04-19-15.37.18,14.5033557,0.117449664,0.687427679,0.471377813,0.349173288,weights,1.184767609,-0.25135071,-1.20136592,-1.151990017,2.548120351,-1.667898988,0.1986038,0.411488829,rows,0,
04-19-15.37.18,04-19-15.37.18,24.29565217,0.127826087,0.595072464,0.461720227,0.394193269,weights,-0.781158776,0.08141133,-1.12066294,-0.209089767,0.447877652,-0.263199358,-2.37480295,-3.742080776,rows,0,
04-19-15.37.18,04-19-15.37.18,59.02307692,0.356538462,0.387727418,0.431468531,0.366153846,weights,-2.735427061,-3.353972696,0.856641759,2.460807246,-1.071276315,0.077149258,1.916752342,1.548473338,rows,0,
