2018-04-04 18:48:02,2018-04-04 18:54:11,1737
2018-04-04 19:06:01,2018-04-04 19:07:15,343
2018-04-04 19:00:02,2018-04-04 19:10:20,2873
2018-04-04 19:18:02,2018-04-04 19:27:04,2510
2018-04-04 19:36:01,2018-04-04 19:42:18,1747
2018-04-04 19:12:02,2018-04-04 19:42:21,8561
2018-04-04 18:54:01,2018-04-04 19:46:31,14821
2018-04-04 19:42:02,2018-04-04 19:56:35,4057
2018-04-04 19:54:02,2018-04-04 19:58:48,1346
2018-04-04 19:48:01,2018-04-04 19:59:21,3204
2018-04-04 19:24:02,2018-04-04 20:08:46,12640
2018-04-04 20:06:02,2018-04-04 20:09:08,864
2018-04-04 20:00:02,2018-04-04 20:10:03,2838
2018-04-04 19:30:01,2018-04-04 20:13:45,12321
2018-04-04 20:36:01,2018-04-04 20:41:27,1511
2018-04-04 20:12:02,2018-04-04 20:42:55,8657
2018-04-04 20:42:02,2018-04-04 21:09:12,7541
2018-04-04 20:24:01,2018-04-04 21:10:17,12945
2018-04-04 20:54:02,2018-04-04 21:13:38,5496
2018-04-04 20:30:01,2018-04-04 21:41:43,19962
2018-04-04 21:00:02,2018-04-04 21:52:49,14535
2018-04-04 21:42:01,2018-04-04 21:55:51,3764
2018-04-04 21:54:02,2018-04-04 21:56:16,587
2018-04-04 21:48:02,2018-04-04 21:57:04,2410
2018-04-04 21:30:01,2018-04-04 21:58:30,7745
2018-04-04 20:18:02,2018-04-04 22:00:30,28578
2018-04-04 21:18:02,2018-04-04 22:10:19,14300
2018-04-04 22:08:01,2018-04-04 22:27:21,5279
2018-04-04 20:48:02,2018-04-04 22:28:56,27764
2018-04-04 22:32:01,2018-04-04 22:35:54,1046
2018-04-04 22:24:01,2018-04-04 22:41:45,4879
2018-04-04 22:40:01,2018-04-04 23:07:00,7380
2018-04-04 21:12:02,2018-04-04 23:19:05,35035
2018-04-04 22:16:01,2018-04-04 23:28:37,19981
2018-04-04 21:06:01,2018-04-04 23:31:54,40140
2018-04-04 23:24:02,2018-04-04 23:33:30,2617
2018-04-04 22:48:02,2018-04-04 23:40:38,14602
2018-04-04 23:08:01,2018-04-04 23:41:37,9310
2018-04-04 23:32:01,2018-04-04 23:43:26,3170
2018-04-04 23:40:02,2018-04-04 23:45:56,1639
2018-04-04 22:56:01,2018-04-04 23:50:54,15332
2018-04-05 00:08:01,2018-04-05 00:16:51,2424
2018-04-04 23:16:02,2018-04-05 00:17:52,17120
2018-04-05 00:32:01,2018-04-05 00:42:10,2657
2018-04-05 00:40:01,2018-04-05 00:43:00,811
2018-04-05 00:16:01,2018-04-05 00:49:09,8979
2018-04-05 00:56:01,2018-04-05 00:57:10,308
2018-04-04 23:48:01,2018-04-05 01:01:30,19995
2018-04-05 00:48:02,2018-04-05 01:11:03,6274
2018-04-04 23:56:02,2018-04-05 01:13:57,21206
2018-04-05 01:08:02,2018-04-05 01:26:34,5090
2018-04-04 21:24:02,2018-04-05 01:29:05,67419
2018-04-05 01:24:02,2018-04-05 01:30:20,1751
2018-04-05 01:16:02,2018-04-05 01:32:53,4625
2018-04-05 00:24:01,2018-04-05 01:50:27,23556
2018-04-04 21:36:01,2018-04-05 02:00:26,72830
2018-04-05 01:56:01,2018-04-05 02:02:17,1719
2018-04-05 01:40:02,2018-04-05 02:06:52,7455
2018-04-05 01:32:02,2018-04-05 02:07:58,10009
2018-04-05 02:08:01,2018-04-05 02:12:43,1299
2018-04-05 02:24:02,2018-04-05 02:27:31,942
2018-04-05 01:48:01,2018-04-05 02:35:20,13137
2018-04-05 02:16:02,2018-04-05 02:49:57,9403
2018-04-05 02:48:02,2018-04-05 02:51:37,985
2018-04-05 02:40:02,2018-04-05 02:54:40,4063
2018-04-05 02:56:01,2018-04-05 03:13:51,4977
2018-04-05 02:32:01,2018-04-05 03:24:34,14688
2018-04-05 03:08:01,2018-04-05 03:27:11,5395
2018-04-05 03:40:01,2018-04-05 03:50:05,2819
2018-04-05 03:48:02,2018-04-05 03:52:33,1244
2018-04-05 03:56:02,2018-04-05 04:02:23,1784
2018-04-05 03:16:02,2018-04-05 04:04:45,13756
2018-04-05 03:32:02,2018-04-05 04:08:38,10376
2018-04-05 03:24:02,2018-04-05 04:19:56,15845
2018-04-05 04:16:01,2018-04-05 04:28:22,3473
2018-04-05 04:08:01,2018-04-05 04:45:37,10666
2018-04-05 04:56:02,2018-04-05 05:01:37,1551
2018-04-05 04:32:01,2018-04-05 05:04:51,9235
2018-04-05 04:48:02,2018-04-05 05:11:27,6661
2018-04-05 05:16:02,2018-04-05 05:21:33,1592
2018-04-05 05:08:02,2018-04-05 05:26:39,5276
2018-04-05 04:24:02,2018-04-05 05:28:43,18326
2018-04-05 05:32:01,2018-04-05 05:34:49,798
2018-04-05 05:40:02,2018-04-05 05:48:19,2349
2018-04-05 04:40:02,2018-04-05 06:04:31,23926
2018-04-05 06:08:02,2018-04-05 06:09:15,336
2018-04-05 05:24:02,2018-04-05 06:17:18,15209
2018-04-05 06:24:02,2018-04-05 06:24:19,71
2018-04-05 05:56:02,2018-04-05 06:31:52,10168
2018-04-05 06:40:01,2018-04-05 06:41:55,521
2018-04-05 05:48:01,2018-04-05 06:57:56,19809
2018-04-05 06:48:02,2018-04-05 07:10:16,6244
2018-04-05 07:08:01,2018-04-05 07:17:36,2707
2018-04-05 07:24:02,2018-04-05 07:30:54,1939
2018-04-05 07:32:02,2018-04-05 07:44:02,3389
2018-04-05 06:16:02,2018-04-05 07:49:34,26330
2018-04-05 07:56:02,2018-04-05 08:01:26,1528
2018-04-05 07:40:01,2018-04-05 08:07:43,7732
2018-04-05 07:48:02,2018-04-05 08:10:34,6359
2018-04-05 06:32:02,2018-04-05 08:12:52,28514
2018-04-05 08:08:02,2018-04-05 08:17:20,2618
2018-04-05 08:24:02,2018-04-05 08:35:45,3253
2018-04-05 08:40:01,2018-04-05 08:46:36,1853
2018-04-05 08:32:02,2018-04-05 08:52:32,5738
2018-04-05 07:16:01,2018-04-05 08:54:47,27707
2018-04-05 06:56:02,2018-04-05 09:07:32,37063
2018-04-05 08:56:01,2018-04-05 09:13:21,4835
2018-04-05 09:16:02,2018-04-05 09:19:36,999
2018-04-05 08:16:02,2018-04-05 09:43:17,24478
2018-04-05 09:32:01,2018-04-05 09:47:34,4355
2018-04-05 08:48:02,2018-04-05 09:51:22,17797
2018-04-05 09:24:02,2018-04-05 09:52:11,7857
2018-04-05 09:08:01,2018-04-05 10:11:10,17789
2018-04-05 09:40:01,2018-04-05 10:11:34,8868
2018-04-05 09:56:01,2018-04-05 10:13:22,4891
2018-04-05 10:08:02,2018-04-05 10:13:27,1517
2018-04-05 10:16:01,2018-04-05 10:16:42,189
2018-04-05 10:32:01,2018-04-05 10:34:45,765
2018-04-05 10:40:01,2018-04-05 10:41:02,271
2018-04-05 09:48:02,2018-04-05 10:49:49,17376
2018-04-05 10:24:01,2018-04-05 10:56:04,9060
2018-04-05 10:56:02,2018-04-05 11:07:48,3319
2018-04-05 10:48:01,2018-04-05 11:08:00,5683
2018-04-05 11:08:01,2018-04-05 11:22:32,4135
2018-04-05 11:16:01,2018-04-05 11:23:50,2216
2018-04-05 11:32:02,2018-04-05 11:41:50,2739
2018-04-05 11:56:02,2018-04-05 11:57:01,262
2018-04-05 11:40:01,2018-04-05 12:05:25,7086
2018-04-05 11:48:02,2018-04-05 12:37:20,13668
2018-04-05 12:08:01,2018-04-05 12:40:00,8702
2018-04-05 11:24:02,2018-04-05 12:59:33,26447
2018-04-05 12:16:02,2018-04-05 13:16:43,16622
2018-04-05 12:24:02,2018-04-05 13:17:06,14565
2018-04-05 12:56:01,2018-04-05 13:24:20,7814
2018-04-05 12:48:01,2018-04-05 13:24:36,10126
2018-04-05 13:24:02,2018-04-05 13:32:23,2349
2018-04-05 13:40:01,2018-04-05 13:40:31,137
2018-04-05 12:32:02,2018-04-05 13:53:27,22674
2018-04-05 13:08:01,2018-04-05 13:54:50,13021
2018-04-05 13:48:02,2018-04-05 14:09:20,5892
2018-04-05 13:16:02,2018-04-05 14:12:40,15847
2018-04-05 14:08:02,2018-04-05 14:16:21,2343
2018-04-05 14:16:01,2018-04-05 14:18:37,705
