Heuristics: TotalHeight Bumpiness NumHoles RowsCleared,Fitness Function = rowsCleared, 30 particles 100 iterations
2018-04-11 00:42:05,2018-04-11 00:42:05,132
2018-04-11 00:42:05,2018-04-11 00:42:05,149
2018-04-11 00:42:05,2018-04-11 00:42:08,1231
2018-04-11 00:42:08,2018-04-11 00:42:09,405
2018-04-11 00:42:09,2018-04-11 00:42:10,272
2018-04-11 00:42:10,2018-04-11 00:42:10,51
2018-04-11 00:42:10,2018-04-11 00:42:10,176
2018-04-11 00:42:11,2018-04-11 00:42:11,134
2018-04-11 00:42:11,2018-04-11 00:42:12,506
2018-04-11 00:42:12,2018-04-11 00:42:13,143
2018-04-11 00:42:13,2018-04-11 00:42:13,144
2018-04-11 00:42:13,2018-04-11 00:42:13,94
2018-04-11 00:42:13,2018-04-11 00:42:14,152
2018-04-11 00:42:14,2018-04-11 00:42:15,460
2018-04-11 00:42:15,2018-04-11 00:42:16,276
2018-04-11 00:42:16,2018-04-11 00:42:17,148
2018-04-11 00:42:17,2018-04-11 00:42:19,526
2018-04-11 00:42:19,2018-04-11 00:42:20,84
2018-04-11 00:42:20,2018-04-11 00:42:23,1602
2018-04-11 00:42:23,2018-04-11 00:42:24,104
2018-04-11 00:42:24,2018-04-11 00:42:24,218
2018-04-11 00:42:24,2018-04-11 00:42:25,321
2018-04-11 00:42:25,2018-04-11 00:42:28,1076
2018-04-11 00:42:28,2018-04-11 00:42:28,138
2018-04-11 00:42:28,2018-04-11 00:42:29,269
2018-04-11 00:42:29,2018-04-11 00:42:30,852
2018-04-11 00:42:30,2018-04-11 00:42:31,182
2018-04-11 00:42:31,2018-04-11 00:42:32,391
2018-04-11 00:42:32,2018-04-11 00:42:33,337
2018-04-11 00:42:33,2018-04-11 00:42:37,2166
2018-04-11 00:42:37,2018-04-11 00:42:38,114
2018-04-11 00:42:38,2018-04-11 00:42:39,512
2018-04-11 00:42:39,2018-04-11 00:42:40,347
2018-04-11 00:42:40,2018-04-11 00:42:43,1239
2018-04-11 00:42:43,2018-04-11 00:42:43,74
2018-04-11 00:42:43,2018-04-11 00:42:43,102
2018-04-11 00:42:43,2018-04-11 00:42:44,566
2018-04-11 00:42:44,2018-04-11 00:42:45,65
2018-04-11 00:42:45,2018-04-11 00:42:45,172
2018-04-11 00:42:45,2018-04-11 00:42:46,252
2018-04-11 00:42:46,2018-04-11 00:42:46,185
2018-04-11 00:42:46,2018-04-11 00:42:47,463
2018-04-11 00:42:47,2018-04-11 00:42:47,35
2018-04-11 00:42:47,2018-04-11 00:42:48,255
2018-04-11 00:42:48,2018-04-11 00:42:49,345
2018-04-11 00:42:49,2018-04-11 00:42:49,102
2018-04-11 00:42:49,2018-04-11 00:42:51,687
2018-04-11 00:42:51,2018-04-11 00:42:51,153
2018-04-11 00:42:51,2018-04-11 00:42:52,74
2018-04-11 00:42:52,2018-04-11 00:42:52,52
2018-04-11 00:42:52,2018-04-11 00:42:53,522
2018-04-11 00:42:53,2018-04-11 00:42:57,1494
2018-04-11 00:42:57,2018-04-11 00:42:58,471
2018-04-11 00:42:58,2018-04-11 00:42:59,131
2018-04-11 00:42:59,2018-04-11 00:42:59,243
2018-04-11 00:42:59,2018-04-11 00:43:00,227
2018-04-11 00:43:00,2018-04-11 00:43:07,3335
2018-04-11 00:43:07,2018-04-11 00:43:09,766
2018-04-11 00:43:09,2018-04-11 00:43:10,343
2018-04-11 00:43:10,2018-04-11 00:43:13,1389
2018-04-11 00:43:13,2018-04-11 00:43:15,864
2018-04-11 00:43:15,2018-04-11 00:43:16,81
2018-04-11 00:43:16,2018-04-11 00:43:17,802
2018-04-11 00:43:17,2018-04-11 00:43:18,120
2018-04-11 00:43:18,2018-04-11 00:43:20,1027
2018-04-11 00:43:20,2018-04-11 00:43:22,710
2018-04-11 00:43:22,2018-04-11 00:43:23,300
2018-04-11 00:43:23,2018-04-11 00:43:30,3211
2018-04-11 00:43:30,2018-04-11 00:43:32,838
2018-04-11 00:43:32,2018-04-11 00:43:33,485
2018-04-11 00:43:33,2018-04-11 00:43:34,137
2018-04-11 00:43:34,2018-04-11 00:43:37,1311
2018-04-11 00:43:37,2018-04-11 00:43:40,1135
2018-04-11 00:43:40,2018-04-11 00:43:41,639
2018-04-11 00:43:41,2018-04-11 00:43:44,921
2018-04-11 00:43:44,2018-04-11 00:43:44,139
2018-04-11 00:43:44,2018-04-11 00:43:46,711
2018-04-11 00:43:46,2018-04-11 00:43:46,202
2018-04-11 00:43:46,2018-04-11 00:43:47,349
2018-04-11 00:43:47,2018-04-11 00:43:47,73
2018-04-11 00:43:47,2018-04-11 00:43:48,157
2018-04-11 00:43:48,2018-04-11 00:43:49,416
2018-04-11 00:43:49,2018-04-11 00:43:49,136
2018-04-11 00:43:49,2018-04-11 00:43:50,164
2018-04-11 00:43:50,2018-04-11 00:43:50,104
2018-04-11 00:43:50,2018-04-11 00:43:51,207
2018-04-11 00:43:51,2018-04-11 00:43:53,808
2018-04-11 00:43:53,2018-04-11 00:43:54,546
2018-04-11 00:43:54,2018-04-11 00:43:55,306
2018-04-11 00:43:55,2018-04-11 00:43:57,851
2018-04-11 00:43:57,2018-04-11 00:43:58,662
2018-04-11 00:43:58,2018-04-11 00:43:59,272
2018-04-11 00:43:59,2018-04-11 00:43:59,92
2018-04-11 00:43:59,2018-04-11 00:44:00,157
2018-04-11 00:44:00,2018-04-11 00:44:02,924
2018-04-11 00:44:02,2018-04-11 00:44:02,83
2018-04-11 00:44:02,2018-04-11 00:44:03,470
2018-04-11 00:44:03,2018-04-11 00:44:04,326
2018-04-11 00:44:04,2018-04-11 00:44:04,52
2018-04-11 00:44:04,2018-04-11 00:44:08,1446
2018-04-11 00:44:08,2018-04-11 00:44:09,457
2018-04-11 00:44:09,2018-04-11 00:44:13,993
2018-04-11 00:44:13,2018-04-11 00:44:13,161
2018-04-11 00:44:13,2018-04-11 00:44:14,127
2018-04-11 00:44:14,2018-04-11 00:44:15,403
2018-04-11 00:44:15,2018-04-11 00:44:17,466
2018-04-11 00:44:17,2018-04-11 00:44:18,404
2018-04-11 00:44:18,2018-04-11 00:44:20,973
2018-04-11 00:44:20,2018-04-11 00:44:20,268
2018-04-11 00:44:20,2018-04-11 00:44:21,147
2018-04-11 00:44:21,2018-04-11 00:44:23,866
2018-04-11 00:44:23,2018-04-11 00:44:23,132
2018-04-11 00:44:23,2018-04-11 00:44:26,963
2018-04-11 00:44:26,2018-04-11 00:44:27,505
2018-04-11 00:44:27,2018-04-11 00:44:28,527
2018-04-11 00:44:28,2018-04-11 00:44:28,35
2018-04-11 00:44:28,2018-04-11 00:44:31,1100
2018-04-11 00:44:31,2018-04-11 00:44:33,1082
